worker,source_file,signature_label,event_subtype,center_seconds,pre_impact_min_accel_g,impact_peak_accel_g,impact_peak_gyro_dps,accel_rise_min_to_impact_g,time_min_to_impact_s,pre_impact_low_g_duration_lt_0_8_s,pre_impact_low_g_duration_lt_0_6_s,pre_impact_low_g_duration_lt_0_4_s
hong_jean,(die2) HJ motion_data.csv,fall,fall_inactive,84.16,0.10347,6.32845,1110.79972,6.22498,1.08,0.28,0.24,0.16
hong_jean,(near miss) HJ motion_data.csv,near_miss,near_miss,53.17,0.19962,4.24256,399.01943,4.04294,0.56,0.84,0.72,0.4
hong_jean,motion_data (hj).csv,normal,normal_work,2.458,0.60324,1.38916,259.52167,0.78592,0.36,0.04,0.0,0.0
hong_jean,motion_data (hj).csv,normal,normal_work,3.458,0.60324,1.7021,514.77547,1.09885,0.68,0.12,0.0,0.0
hong_jean,motion_data (hj).csv,normal,normal_work,4.458,0.60324,1.7021,514.77547,1.09885,0.68,0.12,0.0,0.0
hong_jean,motion_data (hj).csv,normal,normal_work,5.458,0.65238,1.7021,514.77547,1.04972,0.2,0.04,0.0,0.0
hong_jean,motion_data (hj).csv,normal,normal_work,6.458,0.51451,1.58549,365.19343,1.07098,0.08,0.16,0.08,0.0
hong_jean,motion_data (hj).csv,normal,normal_work,7.458,0.77548,1.45606,143.18918,0.68057,0.08,0.04,0.0,0.0
hong_jean,motion_data (hj).csv,normal,normal_work,8.458,0.77548,1.45606,143.18918,0.68057,0.08,0.04,0.0,0.0
hong_jean,motion_data (hj).csv,normal,normal_work,9.458,0.97465,0.98727,12.73616,0.01262,2.24,0.0,0.0,0.0
hong_jean,motion_data (hj).csv,normal,normal_work,10.458,0.97422,0.98959,10.6295,0.01538,0.12,0.0,0.0,0.0
hong_jean,motion_data (hj).csv,normal,normal_work,11.458,0.97422,0.99145,10.6295,0.01724,1.24,0.0,0.0,0.0
hong_jean,motion_data (hj).csv,normal,normal_work,12.458,0.97157,1.26175,73.05555,0.29018,0.6,0.0,0.0,0.0
hong_jean,motion_data (hj).csv,normal,normal_work,13.458,0.8772,1.33405,203.6338,0.45685,1.0,0.0,0.0,0.0
hong_jean,motion_data (hj).csv,normal,normal_work,14.458,0.8772,1.33405,203.6338,0.45685,1.0,0.0,0.0,0.0
hong_jean,motion_data (hj).csv,normal,normal_work,15.458,0.93119,1.33405,525.51882,0.40286,0.32,0.0,0.0,0.0
hong_jean,motion_data (hj).csv,normal,normal_work,16.458,0.89187,1.69704,525.51882,0.80517,1.52,0.0,0.0,0.0
hong_jean,motion_data (hj).csv,normal,normal_work,17.458,0.92622,1.69704,525.51882,0.77081,0.36,0.0,0.0,0.0
hong_jean,motion_data (hj).csv,normal,normal_work,19.458,0.69152,1.54602,290.08839,0.8545,0.88,0.12,0.0,0.0
hong_jean,motion_data (hj).csv,normal,normal_work,20.458,0.94799,1.54602,290.08839,0.59803,0.24,0.0,0.0,0.0
hong_jean,motion_data (hj).csv,normal,normal_work,21.458,0.94204,1.52967,237.96103,0.58763,0.08,0.0,0.0,0.0
hong_jean,motion_data (hj).csv,normal,normal_work,22.458,0.86283,1.41447,221.95477,0.55164,1.56,0.0,0.0,0.0
hong_jean,motion_data (hj).csv,normal,normal_work,23.458,0.91496,1.41447,180.50536,0.49951,0.28,0.0,0.0,0.0
