worker,recording_type,source_file,packet_number,timestamp,elapsed_seconds,interval_ms,Xg,Yg,Zg,Xdeg,Ydeg,Zdeg,acceleration_magnitude_g,gyroscope_magnitude_dps
kwanteng,near_miss,KT_NearMissed_cleaned.csv,1,2026-08-03 12:40:24.218,3.685095,,0.05,-0.22,1.1,-11.05,-79.22,-16.78,1.122898036332774,81.72808146530787
kwanteng,near_miss,KT_NearMissed_cleaned.csv,2,2026-08-03 12:40:24.262,3.728761,43.66599999999998,0.65,-0.76,1.23,-7.2,-55.05,-6.47,1.5852444606432157,55.89457397637091
kwanteng,near_miss,KT_NearMissed_cleaned.csv,4,2026-08-03 12:40:24.306,3.772902,44.141000000000204,1.63,-1.4,1.33,-14.47,-29.97,30.82,2.5270140482395425,45.359168863637706
kwanteng,near_miss,KT_NearMissed_cleaned.csv,6,2026-08-03 12:40:24.349,3.816063,43.161,1.98,-1.15,1.55,-33.69,-12.02,146.24,2.7650316453885297,150.55110129122272
kwanteng,near_miss,KT_NearMissed_cleaned.csv,7,2026-08-03 12:40:24.349,3.81648,0.41699999999966764,1.28,0.18,2.24,-66.89,37.11,292.91,2.5861941149109438,302.7336986527929
kwanteng,near_miss,KT_NearMissed_cleaned.csv,9,2026-08-03 12:40:24.393,3.860129,43.64900000000027,0.2,1.92,2.45,-114.07,204.28,373.54,3.1191184652077584,440.7657142972897
kwanteng,near_miss,KT_NearMissed_cleaned.csv,11,2026-08-03 12:40:24.480,3.947286,87.15699999999993,-0.11,3.01,1.17,-206.6,470.64,351.62,3.231269100523817,622.7537185758107
kwanteng,near_miss,KT_NearMissed_cleaned.csv,12,2026-08-03 12:40:24.480,3.947612,0.32599999999982643,-0.11,3.01,1.17,-284.36,682.13,257.81,3.231269100523817,782.705527385619
kwanteng,near_miss,KT_NearMissed_cleaned.csv,13,2026-08-03 12:40:24.655,4.122314,174.70200000000037,0.73,2.68,-1.31,-284.36,682.13,257.81,3.0710584494600557,782.705527385619
kwanteng,near_miss,KT_NearMissed_cleaned.csv,14,2026-08-03 12:40:24.656,4.122626,0.31200000000009,2.14,1.28,-3.53,-131.1,631.16,174.38,4.321909300297728,667.8012728349655
kwanteng,near_miss,KT_NearMissed_cleaned.csv,16,2026-08-03 12:40:24.657,4.124313,1.68699999999955,3.23,0.86,-2.97,239.69,125.98,170.23,4.471397991680007,319.84450815982444
kwanteng,near_miss,KT_NearMissed_cleaned.csv,18,2026-08-03 12:40:24.660,4.126156,1.843000000000039,2.65,1.77,0.63,489.44,-594.42,140.87,3.24843039020386,782.7713631067503
kwanteng,near_miss,KT_NearMissed_cleaned.csv,19,2026-08-03 12:40:24.660,4.126584,0.428000000000317,0.65,1.52,3.75,424.68,-875.37,-17.46,4.098219125425091,973.1035869320389
kwanteng,near_miss,KT_NearMissed_cleaned.csv,21,2026-08-03 12:40:24.743,4.209383,82.79899999999962,-0.77,0.18,3.57,224.73,-482.06,-114.56,3.6565284082036063,544.0674683345807
kwanteng,near_miss,KT_NearMissed_cleaned.csv,23,2026-08-03 12:40:24.744,4.210753,1.3700000000005375,-0.92,-0.57,1.42,88.01,51.33,-70.07,1.7854131174604941,123.65408970187764
kwanteng,near_miss,KT_NearMissed_cleaned.csv,25,2026-08-03 12:40:24.787,4.253513,42.759999999999465,-0.51,-0.66,0.02,-0.79,211.43,-25.82,0.834326075344646,213.0022098476915
kwanteng,near_miss,KT_NearMissed_cleaned.csv,26,2026-08-03 12:40:24.831,4.297384,43.871000000000215,-0.25,-0.44,-0.03,-61.52,76.48,-10.68,0.5069516742254631,98.73177401424529
kwanteng,near_miss,KT_NearMissed_cleaned.csv,28,2026-08-03 12:40:24.874,4.341086,43.701999999999686,-0.32,-0.08,0.49,-75.56,-65.12,10.13,0.5906775770248943,100.26238028293564
kwanteng,near_miss,KT_NearMissed_cleaned.csv,30,2026-08-03 12:40:24.919,4.384806,43.720000000000425,-0.52,0.27,0.94,-64.21,-110.11,33.39,1.1076551810017412,131.76504961483528
kwanteng,near_miss,KT_NearMissed_cleaned.csv,32,2026-08-03 12:40:24.962,4.428945,44.138999999999484,-0.56,0.3,1.12,-54.26,-105.77,37.17,1.28763348822559,124.55139260562284
kwanteng,near_miss,KT_NearMissed_cleaned.csv,33,2026-08-03 12:40:24.962,4.42937,0.4249999999998977,-0.45,0.13,1.07,-31.68,-83.98,27.1,1.1680325337934727,93.75858787332497
kwanteng,near_miss,KT_NearMissed_cleaned.csv,35,2026-08-03 12:40:25.006,4.472713,43.34300000000013,-0.3,-0.02,0.96,-14.71,-66.28,26.55,1.0059821071967434,72.89941700727105
kwanteng,near_miss,KT_NearMissed_cleaned.csv,37,2026-08-03 12:40:25.050,4.516513,43.80000000000006,-0.19,-0.13,0.97,-28.02,-69.58,38.94,0.9969453345093702,84.5152080988978
kwanteng,near_miss,KT_NearMissed_cleaned.csv,39,2026-08-03 12:40:25.093,4.560386,43.873000000000495,-0.13,-0.19,1.03,-38.88,-75.01,39.92,1.0554146104730595,93.44389172118208
kwanteng,near_miss,KT_NearMissed_cleaned.csv,40,2026-08-03 12:40:25.181,4.647254,86.86799999999994,-0.11,-0.19,1.02,-34.61,-64.64,20.75,1.0433599570617995,76.20199603684932
kwanteng,near_miss,KT_NearMissed_cleaned.csv,42,2026-08-03 12:40:25.182,4.648772,1.5179999999999083,-0.11,-0.19,0.97,-21.85,-48.89,4.46,0.9945350672550466,53.73589303249738
kwanteng,near_miss,KT_NearMissed_cleaned.csv,44,2026-08-03 12:40:25.268,4.73479,86.01800000000014,-0.12,-0.18,0.95,-2.26,-35.28,2.99,0.9743202758846805,35.47853012738831
kwanteng,near_miss,KT_NearMissed_cleaned.csv,46,2026-08-03 12:40:25.269,4.735922,1.132000000000133,-0.13,-0.14,0.96,13.06,-21.0,10.86,0.9788258272031853,27.009316911021646
kwanteng,near_miss,KT_NearMissed_cleaned.csv,48,2026-08-03 12:40:25.312,4.778611,42.68899999999931,-0.13,-0.06,1.0,19.47,-15.08,19.53,1.010198000393982,31.431006983550493
kwanteng,near_miss,KT_NearMissed_cleaned.csv,49,2026-08-03 12:40:25.312,4.778968,0.35700000000016274,-0.14,-0.01,1.03,19.71,-14.71,21.18,1.0395191195932858,32.457057784093735
kwanteng,near_miss,KT_NearMissed_cleaned.csv,51,2026-08-03 12:40:25.356,4.822605,43.63700000000037,-0.16,0.01,1.02,17.88,-8.12,16.6,1.0325211862233143,25.713591736667205
kwanteng,near_miss,KT_NearMissed_cleaned.csv,53,2026-08-03 12:40:25.399,4.866292,43.686999999999365,-0.16,0.02,0.99,15.01,-0.43,10.56,1.0030453628824572,18.357521619216467
kwanteng,near_miss,KT_NearMissed_cleaned.csv,55,2026-08-03 12:40:25.488,4.954225,87.93300000000048,-0.15,0.01,0.98,9.58,2.32,5.37,0.9914635646356349,11.224780621464278
kwanteng,near_miss,KT_NearMissed_cleaned.csv,59,2026-08-03 12:40:25.531,4.997787,43.56199999999966,-0.14,0.0,0.96,5.98,4.03,1.83,0.9701546268507922,7.439771501867514
kwanteng,near_miss,KT_NearMissed_cleaned.csv,61,2026-08-03 12:40:25.618,5.08521,87.42300000000026,-0.14,-0.0,0.95,6.9,2.26,2.38,0.9602603813549739,7.640811475229579
kwanteng,near_miss,KT_NearMissed_cleaned.csv,62,2026-08-03 12:40:25.619,5.086021,0.8109999999996731,-0.14,0.0,0.96,6.04,-2.2,2.75,0.9701546268507922,6.9917165274344475
kwanteng,near_miss,KT_NearMissed_cleaned.csv,64,2026-08-03 12:40:25.661,5.128209,42.188000000000336,-0.13,0.01,0.99,4.27,-6.71,2.75,0.9985489472229191,8.415432252712868
kwanteng,near_miss,KT_NearMissed_cleaned.csv,66,2026-08-03 12:40:25.749,5.215915,87.70599999999985,-0.12,0.01,1.02,6.59,-7.02,1.59,1.0270832488167645,9.758924121028915
kwanteng,near_miss,KT_NearMissed_cleaned.csv,68,2026-08-03 12:40:25.750,5.217036,1.1210000000003717,-0.12,0.03,1.03,30.94,2.93,-3.85,1.037400597647794,31.315986332862007
kwanteng,near_miss,KT_NearMissed_cleaned.csv,70,2026-08-03 12:40:25.793,5.259834,42.79799999999945,-0.13,0.08,1.0,54.57,13.92,-9.64,1.011582918005242,57.13651109404564
kwanteng,near_miss,KT_NearMissed_cleaned.csv,71,2026-08-03 12:40:25.794,5.260398,0.5640000000006751,-0.13,0.07,0.99,35.58,12.21,-8.54,1.000949549178179,38.57398216414789
kwanteng,near_miss,KT_NearMissed_cleaned.csv,73,2026-08-03 12:40:25.837,5.303906,43.507999999999214,-0.12,0.04,1.04,12.33,7.45,0.37,1.0476640682967036,14.410700885106179
kwanteng,near_miss,KT_NearMissed_cleaned.csv,75,2026-08-03 12:40:25.924,5.391612,87.70600000000073,-0.13,0.07,1.03,29.05,11.35,23.38,1.0405287117614774,38.97883271725822
kwanteng,near_miss,KT_NearMissed_cleaned.csv,77,2026-08-03 12:40:25.926,5.392834,1.2219999999993902,-0.19,0.2,0.95,57.56,-1.53,51.03,0.9892421341612982,76.93864698576392
kwanteng,near_miss,KT_NearMissed_cleaned.csv,79,2026-08-03 12:40:25.969,5.435235,42.40099999999991,-0.23,0.34,0.95,38.76,-43.09,55.66,1.0348912986396204,80.35621506765982
kwanteng,near_miss,KT_NearMissed_cleaned.csv,80,2026-08-03 12:40:26.011,5.478537,43.30200000000062,-0.19,0.36,1.02,-14.71,-62.07,33.81,1.0982258419833326,72.1954645389861
kwanteng,near_miss,KT_NearMissed_cleaned.csv,82,2026-08-03 12:40:26.056,5.522815,44.27799999999937,-0.13,0.17,1.03,-36.5,-19.84,-5.49,1.0519980988575977,41.904841009124475
kwanteng,near_miss,KT_NearMissed_cleaned.csv,84,2026-08-03 12:40:26.099,5.566591,43.77600000000026,-0.04,-0.09,0.99,-10.25,47.91,-50.42,0.9948869282486327,70.30367700198902
kwanteng,near_miss,KT_NearMissed_cleaned.csv,86,2026-08-03 12:40:26.143,5.610109,43.517999999999724,0.0,-0.18,0.95,31.31,88.13,-72.08,0.966902270139025,118.07937753900974
kwanteng,near_miss,KT_NearMissed_cleaned.csv,87,2026-08-03 12:40:26.187,5.653789,43.68000000000016,-0.07,-0.02,0.89,36.13,98.94,-61.52,0.892972563968233,121.98037096188878
kwanteng,near_miss,KT_NearMissed_cleaned.csv,89,2026-08-03 12:40:26.231,5.697365,43.57599999999984,-0.32,0.38,0.96,-27.16,115.48,-43.09,1.0809255293497328,126.21427851079292
kwanteng,near_miss,KT_NearMissed_cleaned.csv,91,2026-08-03 12:40:26.274,5.741054,43.68900000000053,-0.59,0.82,1.01,-71.11,131.47,-6.1,1.4284957122791793,149.59345908160557
kwanteng,near_miss,KT_NearMissed_cleaned.csv,92,2026-08-03 12:40:26.361,5.828562,87.5079999999997,-0.69,1.03,0.76,3.05,100.52,77.51,1.4541664278891875,126.96996889028523
kwanteng,near_miss,KT_NearMissed_cleaned.csv,94,2026-08-03 12:40:26.363,5.829664,1.1020000000003805,-0.62,0.8,0.37,74.4,15.99,111.45,1.0776363022838458,134.95237159827906
kwanteng,near_miss,KT_NearMissed_cleaned.csv,96,2026-08-03 12:40:26.364,5.831249,1.5849999999995035,-0.41,0.24,0.24,-30.64,-116.76,35.95,0.5322593352868505,125.9528074319902
kwanteng,near_miss,KT_NearMissed_cleaned.csv,98,2026-08-03 12:40:26.449,5.916201,84.95200000000037,-0.03,-0.52,0.53,-279.66,-240.42,-69.52,0.7431016081263719,375.2925823940569
kwanteng,near_miss,KT_NearMissed_cleaned.csv,99,2026-08-03 12:40:26.449,5.916531,0.32999999999994145,0.28,-1.05,1.0,-367.61,-232.67,-123.17,1.476787053031005,452.15405549436355
kwanteng,near_miss,KT_NearMissed_cleaned.csv,101,2026-08-03 12:40:26.494,5.960414,43.883000000000116,0.3,-0.85,1.25,-152.47,-95.95,-84.66,1.541103500742244,199.0497902535946
kwanteng,near_miss,KT_NearMissed_cleaned.csv,103,2026-08-03 12:40:26.537,6.004254,43.84000000000032,0.21,-0.37,1.16,43.4,0.31,-29.85,1.235556554755791,52.67521808213043
kwanteng,near_miss,KT_NearMissed_cleaned.csv,104,2026-08-03 12:40:26.580,6.047334,43.079999999999785,0.12,-0.09,0.89,43.58,-8.24,-28.38,0.9025519375637061,52.654899107300544
kwanteng,near_miss,KT_NearMissed_cleaned.csv,106,2026-08-03 12:40:26.712,6.178533,131.19899999999961,0.06,-0.17,0.67,-32.9,-22.09,-52.37,0.6938299503480663,65.67339644026337
kwanteng,near_miss,KT_NearMissed_cleaned.csv,108,2026-08-03 12:40:26.713,6.179775,1.2420000000004094,0.01,-0.4,0.61,-89.17,-3.36,-51.21,0.7295203903935791,102.88363621101269
kwanteng,near_miss,KT_NearMissed_cleaned.csv,110,2026-08-03 12:40:26.714,6.181249,1.4739999999999753,0.01,-0.51,0.7,-76.11,6.16,-23.8,0.8661408661412991,79.98198359630749
kwanteng,near_miss,KT_NearMissed_cleaned.csv,112,2026-08-03 12:40:26.756,6.222236,40.98699999999944,0.03,-0.48,0.89,-28.63,1.77,-9.34,1.0116323442832382,30.166958746283985
kwanteng,near_miss,KT_NearMissed_cleaned.csv,113,2026-08-03 12:40:26.799,6.266066,43.8300000000007,-0.02,-0.43,1.07,-0.67,5.31,-6.1,1.1533429672044653,8.11510936463582
kwanteng,near_miss,KT_NearMissed_cleaned.csv,115,2026-08-03 12:40:26.800,6.267256,1.1899999999993582,-0.15,-0.44,1.2,2.99,19.23,-4.82,1.2868954891520912,20.049074791620686
kwanteng,near_miss,KT_NearMissed_cleaned.csv,117,2026-08-03 12:40:26.887,6.353617,86.36100000000013,-0.18,-0.42,1.23,9.16,18.55,-27.22,1.3121356637177422,34.189713365279914
kwanteng,near_miss,KT_NearMissed_cleaned.csv,119,2026-08-03 12:40:26.888,6.355436,1.819000000000237,-0.1,-0.4,1.1,7.57,1.4,-50.23,1.174734012447073,50.816511096296246
kwanteng,near_miss,KT_NearMissed_cleaned.csv,120,2026-08-03 12:40:26.975,6.44146,86.0240000000001,-0.1,-0.4,1.1,-27.22,-5.68,-30.15,1.174734012447073,41.014793672527475
kwanteng,near_miss,KT_NearMissed_cleaned.csv,121,2026-08-03 12:40:26.975,6.441912,0.452000000000119,-0.07,-0.47,0.92,-27.22,-5.68,-30.15,1.0354709073653399,41.014793672527475
kwanteng,near_miss,KT_NearMissed_cleaned.csv,122,2026-08-03 12:40:26.976,6.442716,0.8039999999995828,-0.01,-0.58,0.77,-40.28,-28.63,1.95,0.9640539403996023,49.45662544088507
kwanteng,near_miss,KT_NearMissed_cleaned.csv,124,2026-08-03 12:40:27.062,6.528657,85.94100000000005,0.25,-0.63,0.63,-5.86,-85.45,4.88,0.9253647929330358,85.78960601378235
kwanteng,near_miss,KT_NearMissed_cleaned.csv,126,2026-08-03 12:40:27.063,6.529727,1.0700000000003485,0.48,-0.65,0.61,6.23,-78.43,-9.77,1.0124228365658292,79.28133891402189
kwanteng,near_miss,KT_NearMissed_cleaned.csv,128,2026-08-03 12:40:27.194,6.66002,130.293,0.45,-0.65,0.76,-27.83,34.24,-19.59,1.0966312051004201,48.27685366715606
kwanteng,near_miss,KT_NearMissed_cleaned.csv,129,2026-08-03 12:40:27.194,6.660853,0.8330000000000837,0.29,-0.59,0.91,-54.02,124.27,-26.49,1.1226308386998818,138.06850980582067
kwanteng,near_miss,KT_NearMissed_cleaned.csv,131,2026-08-03 12:40:27.196,6.662542,1.6889999999998295,0.17,-0.49,0.98,-50.35,121.89,-35.95,1.1087831167545796,136.69197891610173
kwanteng,near_miss,KT_NearMissed_cleaned.csv,133,2026-08-03 12:40:27.237,6.703477,40.935000000000166,0.11,-0.4,0.87,-32.17,63.9,-36.38,0.9638464608017192,80.25972402145426
kwanteng,near_miss,KT_NearMissed_cleaned.csv,135,2026-08-03 12:40:27.280,6.747207,43.73000000000005,0.09,-0.42,0.68,-14.65,8.12,-19.59,0.8043009387039157,25.774502905002844
kwanteng,near_miss,KT_NearMissed_cleaned.csv,136,2026-08-03 12:40:27.280,6.747583,0.3759999999992658,0.1,-0.5,0.64,-3.97,9.95,-4.94,0.8182909018191513,11.796906374130465
kwanteng,near_miss,KT_NearMissed_cleaned.csv,138,2026-08-03 12:40:27.325,6.79162,44.037000000000326,0.05,-0.55,0.76,-3.72,59.81,-6.84,0.9394679345246436,60.31467566024044
kwanteng,near_miss,KT_NearMissed_cleaned.csv,140,2026-08-03 12:40:27.369,6.835461,43.840999999999575,-0.06,-0.55,0.89,-7.81,79.53,-13.24,1.047950380504726,81.00194195202977
kwanteng,near_miss,KT_NearMissed_cleaned.csv,142,2026-08-03 12:40:27.412,6.879038,43.577000000000865,-0.12,-0.52,0.87,-3.78,35.89,-11.41,1.0206370559606388,37.849287972166664
kwanteng,near_miss,KT_NearMissed_cleaned.csv,143,2026-08-03 12:40:27.499,6.966107,87.06899999999962,-0.13,-0.47,0.76,6.16,-7.02,-4.09,0.9029950165975447,10.195788346175101
kwanteng,near_miss,KT_NearMissed_cleaned.csv,145,2026-08-03 12:40:27.501,6.967231,1.1239999999999029,-0.12,-0.42,0.69,19.04,-6.84,0.06,0.8166394553289719,20.23143099239399
kwanteng,near_miss,KT_NearMissed_cleaned.csv,147,2026-08-03 12:40:27.543,7.010077,42.84599999999994,-0.14,-0.4,0.66,30.15,12.27,-3.42,0.7843468620451032,32.730288724666025
kwanteng,near_miss,KT_NearMissed_cleaned.csv,149,2026-08-03 12:40:27.586,7.053664,43.58700000000049,-0.17,-0.39,0.75,28.26,48.03,-17.09,0.8622644605919927,58.28873476067224
kwanteng,near_miss,KT_NearMissed_cleaned.csv,151,2026-08-03 12:40:27.630,7.097381,43.717000000000006,-0.1,-0.43,0.81,22.71,60.12,-27.83,0.922496612459905,70.03333063620492
kwanteng,near_miss,KT_NearMissed_cleaned.csv,152,2026-08-03 12:40:27.675,7.141126,43.74499999999948,0.01,-0.49,0.76,30.52,20.08,-21.91,0.9043229511629128,42.59958802617696
kwanteng,near_miss,KT_NearMissed_cleaned.csv,154,2026-08-03 12:40:27.719,7.184848,43.72199999999982,-0.08,-0.54,0.83,44.68,1.59,-4.88,0.9934284070832684,44.97382460943254
kwanteng,near_miss,KT_NearMissed_cleaned.csv,156,2026-08-03 12:40:27.762,7.228704,43.855999999999895,-0.24,-0.55,1.02,52.67,18.74,3.36,1.183427226321923,56.00541134569052
kwanteng,near_miss,KT_NearMissed_cleaned.csv,158,2026-08-03 12:40:27.806,7.272514,43.81000000000057,-0.22,-0.49,1.16,43.46,34.91,-13.55,1.2783192089615174,57.367954469372535
kwanteng,near_miss,KT_NearMissed_cleaned.csv,162,2026-08-03 12:40:27.894,7.361112,88.59800000000018,0.04,-0.41,1.04,3.85,22.28,-45.17,1.1186152153444007,50.51286766755576
kwanteng,near_miss,KT_NearMissed_cleaned.csv,163,2026-08-03 12:40:27.895,7.361741,0.6289999999999907,0.13,-0.4,0.93,-7.63,11.23,-45.78,1.0206860437960343,47.75079266357785
kwanteng,near_miss,KT_NearMissed_cleaned.csv,165,2026-08-03 12:40:27.937,7.404342,42.600999999999445,0.14,-0.43,0.79,-14.04,13.85,-32.29,0.9102746838180221,37.836334389049895
kwanteng,near_miss,KT_NearMissed_cleaned.csv,167,2026-08-03 12:40:27.981,7.44785,43.5080000000001,0.04,-0.46,0.66,-10.5,21.06,-3.85,0.8054812226240907,23.8452531963911
kwanteng,near_miss,KT_NearMissed_cleaned.csv,169,2026-08-03 12:40:28.156,7.622929,175.0790000000002,-0.1,-0.46,0.64,-4.27,31.74,23.5,0.7944809626416481,39.72292159446483
kwanteng,near_miss,KT_NearMissed_cleaned.csv,171,2026-08-03 12:40:28.158,7.624294,1.3649999999998386,-0.15,-0.4,0.68,4.82,21.18,43.03,0.8030566605165542,48.20171884902032
kwanteng,near_miss,KT_NearMissed_cleaned.csv,172,2026-08-03 12:40:28.158,7.625102,0.8080000000001419,-0.22,-0.34,0.81,20.26,0.18,73.24,0.9055937278934744,75.99077312411026
kwanteng,near_miss,KT_NearMissed_cleaned.csv,174,2026-08-03 12:40:28.160,7.626643,1.5409999999995705,-0.3,-0.38,0.93,22.89,-19.47,120.12,1.048475083156486,123.82183733090056
kwanteng,near_miss,KT_NearMissed_cleaned.csv,176,2026-08-03 12:40:28.199,7.665703,39.060000000000095,-0.32,-0.44,0.96,9.58,-32.71,149.72,1.1034491379306977,153.55063952976556
kwanteng,near_miss,KT_NearMissed_cleaned.csv,178,2026-08-03 12:40:28.288,7.753882,88.17900000000023,-0.34,-0.48,0.95,6.29,-17.27,142.33,1.1173629669896885,143.51183191639637
kwanteng,near_miss,KT_NearMissed_cleaned.csv,179,2026-08-03 12:40:28.288,7.7544,0.5180000000004625,-0.3,-0.48,0.91,2.44,11.96,111.39,1.0716809226630846,112.056803898737
kwanteng,near_miss,KT_NearMissed_cleaned.csv,181,2026-08-03 12:40:28.290,7.755896,1.4959999999994977,-0.26,-0.36,0.92,-1.65,35.46,80.87,1.0215674231297707,88.3181238478264
kwanteng,near_miss,KT_NearMissed_cleaned.csv,183,2026-08-03 12:40:28.375,7.841392,85.49600000000001,-0.26,-0.24,0.89,-4.7,30.52,91.31,0.9577577981932593,96.39023031407281
kwanteng,near_miss,KT_NearMissed_cleaned.csv,184,2026-08-03 12:40:28.375,7.841724,0.332000000000221,-0.24,-0.14,0.8,-26.25,7.93,143.31,0.8468766143896053,145.90991570143547
kwanteng,near_miss,KT_NearMissed_cleaned.csv,186,2026-08-03 12:40:28.462,7.929386,87.6619999999999,-0.3,0.04,0.8,-27.53,-0.37,203.55,0.855336191213724,205.40360342506168
kwanteng,near_miss,KT_NearMissed_cleaned.csv,188,2026-08-03 12:40:28.463,7.930541,1.154999999999795,-0.4,0.25,0.76,8.18,-17.4,262.27,0.8944830909525344,262.9738110534963
kwanteng,near_miss,KT_NearMissed_cleaned.csv,190,2026-08-03 12:40:28.506,7.973014,42.473000000000205,-0.44,0.45,0.71,46.81,-28.2,284.67,0.9487887014504336,289.8679440710891
kwanteng,near_miss,KT_NearMissed_cleaned.csv,194,2026-08-03 12:40:28.593,8.060005,86.99100000000027,-0.22,0.49,0.7,49.99,-87.28,271.24,0.8823264701911645,289.28867260921226
kwanteng,near_miss,KT_NearMissed_cleaned.csv,195,2026-08-03 12:40:28.637,8.103808,43.80300000000048,-0.06,0.45,0.72,43.64,-130.31,253.91,0.8511756575466664,288.71341118832703
kwanteng,near_miss,KT_NearMissed_cleaned.csv,197,2026-08-03 12:40:28.681,8.147478,43.669999999998765,0.02,0.49,0.77,62.93,-128.78,226.75,0.9129074432821763,268.25367807357276
kwanteng,near_miss,KT_NearMissed_cleaned.csv,199,2026-08-03 12:40:28.725,8.191533,44.05500000000018,0.07,0.56,0.8,89.29,-97.05,201.6,0.9790301323248433,240.90240056919316
kwanteng,near_miss,KT_NearMissed_cleaned.csv,201,2026-08-03 12:40:28.769,8.235013,43.48000000000063,0.18,0.58,0.77,80.57,-70.62,191.71,0.9806630410084801,219.61655994027407
kwanteng,near_miss,KT_NearMissed_cleaned.csv,202,2026-08-03 12:40:28.769,8.235693,0.6799999999991257,0.55,0.42,0.63,15.01,-68.79,182.74,0.9358418669839472,195.83480742707619
kwanteng,near_miss,KT_NearMissed_cleaned.csv,204,2026-08-03 12:40:28.813,8.279311,43.61800000000038,1.15,0.11,0.59,-68.05,-96.13,155.27,1.297189269150805,194.8859982143407
kwanteng,near_miss,KT_NearMissed_cleaned.csv,206,2026-08-03 12:40:28.856,8.32283,43.51899999999986,1.65,-0.29,0.81,-116.82,-148.01,105.65,1.8608331467383097,216.13837003179236
kwanteng,near_miss,KT_NearMissed_cleaned.csv,210,2026-08-03 12:40:28.944,8.410788,87.95800000000042,1.17,-0.91,1.1,-147.89,-201.54,78.43,1.8458060569843193,261.99444383421564
kwanteng,near_miss,KT_NearMissed_cleaned.csv,211,2026-08-03 12:40:28.987,8.453888,43.09999999999903,0.68,-0.76,1.15,-153.5,-173.22,63.54,1.5370426148939398,240.00989562932608
kwanteng,near_miss,KT_NearMissed_cleaned.csv,213,2026-08-03 12:40:29.031,8.497836,43.94800000000032,0.6,-0.71,1.11,-163.94,-136.72,-15.14,1.447825956391168,214.00444294453328
kwanteng,near_miss,KT_NearMissed_cleaned.csv,215,2026-08-03 12:40:29.075,8.54148,43.64400000000046,0.86,-0.73,1.1,-163.57,-91.61,-124.08,1.575595125658873,224.81855661844287
kwanteng,near_miss,KT_NearMissed_cleaned.csv,217,2026-08-03 12:40:29.118,8.584936,43.45600000000083,0.94,-0.36,1.41,-111.02,-58.29,-160.52,1.7324260445975752,203.69053708996893
kwanteng,near_miss,KT_NearMissed_cleaned.csv,218,2026-08-03 12:40:29.162,8.628737,43.800999999998425,0.86,0.35,1.62,-55.54,-34.85,-118.71,1.8672171807264415,135.6144468705307
kwanteng,near_miss,KT_NearMissed_cleaned.csv,220,2026-08-03 12:40:29.206,8.672586,43.84900000000158,0.6,1.36,1.14,-86.3,-4.03,-93.57,1.8732858831475778,127.35492059594712
kwanteng,near_miss,KT_NearMissed_cleaned.csv,222,2026-08-03 12:40:29.250,8.716263,43.676999999998856,0.36,1.97,0.38,-204.96,-18.74,-145.39,2.038357181653893,251.98817690518734
kwanteng,near_miss,KT_NearMissed_cleaned.csv,223,2026-08-03 12:40:29.250,8.716625,0.36200000000086163,0.36,1.97,0.38,-256.23,-27.28,-217.9,2.038357181653893,337.4587697778797
kwanteng,near_miss,KT_NearMissed_cleaned.csv,224,2026-08-03 12:40:29.381,8.84768,131.05499999999992,0.58,1.38,0.06,-256.23,-27.28,-217.9,1.4981321704042003,337.4587697778797
kwanteng,near_miss,KT_NearMissed_cleaned.csv,225,2026-08-03 12:40:29.382,8.848205,0.5249999999996646,0.79,0.32,0.17,-149.48,46.69,-187.99,0.8691375035056307,244.6721614732661
kwanteng,near_miss,KT_NearMissed_cleaned.csv,227,2026-08-03 12:40:29.383,8.849533,1.3279999999991077,0.77,-0.34,0.26,-22.09,91.98,-74.34,0.8809653795694812,120.31094754842555
kwanteng,near_miss,KT_NearMissed_cleaned.csv,229,2026-08-03 12:40:29.385,8.851077,1.544000000000878,0.71,-0.39,0.31,56.09,74.34,7.45,0.8673522929006414,93.42390593418797
kwanteng,near_miss,KT_NearMissed_cleaned.csv,230,2026-08-03 12:40:29.424,8.891424,40.34700000000058,0.71,-0.39,0.31,91.8,52.0,13.12,0.8673522929006414,106.31732878510445
kwanteng,near_miss,KT_NearMissed_cleaned.csv,231,2026-08-03 12:40:29.425,8.891769,0.3449999999993736,0.62,-0.07,0.5,91.8,52.0,13.12,0.7995623803056269,106.31732878510445
kwanteng,near_miss,KT_NearMissed_cleaned.csv,232,2026-08-03 12:40:29.468,8.935051,43.2819999999996,0.58,0.2,0.68,60.36,34.67,-25.63,0.9158602513484249,74.17705440363616
kwanteng,near_miss,KT_NearMissed_cleaned.csv,234,2026-08-03 12:40:29.513,8.978979,43.92800000000108,0.59,0.36,0.74,0.31,15.2,-73.61,1.0125709851659783,75.16360954610948
kwanteng,near_miss,KT_NearMissed_cleaned.csv,236,2026-08-03 12:40:29.556,9.023007,44.02799999999907,0.61,0.55,0.76,-23.5,-1.28,-119.81,1.1190174261377703,122.09964987664789
kwanteng,near_miss,KT_NearMissed_cleaned.csv,237,2026-08-03 12:40:29.731,9.197642,174.63500000000033,0.61,0.55,0.76,-32.47,1.34,-149.29,1.1190174261377703,152.78612698802203
kwanteng,near_miss,KT_NearMissed_cleaned.csv,238,2026-08-03 12:40:29.732,9.197939,0.29699999999976967,0.61,0.69,0.74,-32.47,1.34,-149.29,1.1814397995666135,152.78612698802203
